#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
18.3%,11,-264.9386767237802,179.23462957720378,-85.70404714657641,350.51943834746163,8.0,0.05235150231209444,0,--
20.0%,12,-260.04081855462056,174.36465682471643,-85.67616172990412,340.995496919424,8.0,0.05235150231209444,0.0171,0:48
21.7%,13,-254.8495491043247,169.20652147405642,-85.64302763026828,330.90801153616695,8.0,0.05235150231209444,0.0176,0:46
23.3%,14,-249.90776498995558,164.2989436184843,-85.6088213714713,321.31052784878267,8.0,0.05235150231209444,0.0177,0:44
25.0%,15,-245.7674960982543,160.18882674708112,-85.57866935117318,313.2725953314724,8.0,0.05235150231209444,0.0178,0:43
26.7%,16,-242.9108564973972,157.3533995518061,-85.5574569455911,307.7275042388227,8.0,0.05235150231209444,0.0178,0:42
28.3%,17,-241.6752867153807,156.1266967810561,-85.54858993432461,305.3285082008536,8.0,0.05235150231209444,0.0179,0:41
30.0%,18,-242.20148796062443,156.64835089853932,-85.55313706208511,306.34867884925563,8.0,0.05235150231209444,0.0179,0:40
31.7%,19,-244.41667513420037,158.84693777243214,-85.56973736176823,310.6483358854706,8.0,0.05235150231209444,0.018,0:39
33.3%,20,-248.05501443127042,162.45987928052222,-85.5951351507482,317.71396952549475,8.0,0.05235150231209444,0.018,0:38
35.0%,21,-252.70695201590934,167.08175882418354,-85.6251931917258,326.75272852856995,8.0,0.05235150231209444,0.0181,0:37
36.7%,22,-257.8828805172869,172.22703239268512,-85.65584812460176,336.81506082244374,8.0,0.05235150231209444,0.0181,0:36
38.3%,23,-263.0767264245253,177.39295716762592,-85.68376925689938,346.9177795600498,8.0,0.05235150231209444,0.0181,0:35
40.0%,24,-267.8192410645206,182.11260690764297,-85.70663415687764,356.1477424303383,8.0,0.05235150231209444,0.0181,0:34
41.7%,25,-271.71636141910926,185.99325603163587,-85.7231053874734,363.73691732680913,8.0,0.05235150231209444,0.0181,0:33
43.3%,26,-274.4725103888712,188.73985941902555,-85.73265096984568,369.10830051867373,8.0,0.05235150231209444,0.0181,0:32
